"dataset","yearPublished","format","language","type","district","isProtectedArea","done","note"
"Jansová, 1991-Na Vanovicích-Èeskı kras.pdf",1991,"AOPK-data","Czech","inventory research","Støedoèeskı",TRUE,FALSE,"pdf-scan"
"Stritesky&Krist,2004-ptactvoPpVelkıKosíø.pdf",2004,"literature","Czech","scientific publication","Olomouckı",TRUE,FALSE,"pdf"
"Chytil, 2013-RamenaØekyMoravy-Aves-IP",2013,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf"
"Kloubec&Klimeš,1995-ptactvoVodòanska-tabulky.pdf",1995,"literature","Czech","scientific publication","Jihoèeskı",FALSE,FALSE,"pdf-scan"
"Øepa,1994-sloení ptaèí synuzie-Tachov.pdf",1994,"literature","Czech","scientific publication","Plzeòskı",FALSE,FALSE,"pdf-scan"
"Fisher&Vlach,2014-Vertebr.-Šumava.pdf",2014,"literature","Czech","inventory research","Jihoèeskı",TRUE,FALSE,"pdf, without tables in csv"
"Tichı,1981-vertebr.-ÈeskéStøedoh.pdf",1981,"literature","Czech","inventory research","Ústeckı",TRUE,FALSE,"pdf-scan, cf. Vlèek, 1971"
"Honcù, 2013-Novozámeckı rybník-Aves-IP",2013,"AOPK-data","Czech","inventory research","Libereckı",TRUE,FALSE,"pdf"
"Macháèek,1986-Lednické ryb.pdf",1986,"AOPK-data","Czech","inventory research","Jihomoravskı",TRUE,FALSE,"pdf-scan, without tables in csv"
"Koèvara et al.,2006-ornit.Jeseníky.pdf",2006,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf, without tables"
"ROS,2016-prùzkum-ptáci-Brdy.pdf",2016,"literature","Czech","inventory research","Plzeòskı, Støedoèeskı",TRUE,FALSE,"pdf, without tables"
"Vlèek,1977-Vertebr.Slanisko.pdf",1977,"literature","Czech","scientific publication","Ústeckı",TRUE,FALSE,"pdf-scan"
"Tichı,1985-obratlovci lesa u Peruce.pdf",1985,"literature","Czech","scientific publication","Ústeckı",TRUE,FALSE,"pdf-scan"
"Vlèek,1973-Radobıl-Verteb-IP",1973,"AOPK-data","Czech","inventory research","Ústeckı",TRUE,FALSE,"pdf-scan"
"Koèvara et al.,2007-ornit.Jeseníky.pdf",2006,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf, without tables"
"Vlèek,1983-Vertebr.Raè.pdf",1983,"literature","Czech","scientific publication","Ústeckı",TRUE,FALSE,"pdf-scan"
"Macháèek,1997-Lednické ryb&pastvisko.pdf",1997,"AOPK-data","Czech","inventory research","Jihomoravskı",TRUE,FALSE,"pdf-scan, without tables in csv"
"Flousek et al.,1994-ornit.Krkonoše.pdf",1994,"literature","Czech","inventory research","Libereckı, Královéhradeckı",TRUE,FALSE,"pdf-scan, atlas data?"
"Koèvara, 2014-Tøesín-Aves-IP",2014,"AOPK-data","Czech","inventory research","Olomouckı",TRUE,FALSE,"pdf"
"Rybáø,1975-vertebr.Orlické hory.pdf",1975,"literature","Czech","inventory research","Královéhradeckı",TRUE,FALSE,"pdf, without tables"
"Lemberk1989-srovnání ornitocenoz-Krkonoše.pdf",1989,"literature","Czech","scientific publication","Libereckı",TRUE,FALSE,"pdf-scan"
"Ševèík,1994-avifaunaOstrava-Poruba.pdf",1994,"literature","Czech","scientific publication","Moravskoslezkı",FALSE,FALSE,"pdf-scan"
"Rybáø,1976-vertebr.Orlické hory.pdf",1976,"literature","Czech","inventory research","Královéhradeckı",TRUE,FALSE,"pdf, without tables"
"Vlèek,1969-Lovoš-Verteb-IP",1969,"AOPK-data","Czech","inventory research","Ústeckı",TRUE,FALSE,"pdf-scan"
